start_date,end_date,pair1,pair2,pair3,pair4,pair5
2021-01-19,2021-01-22,0.2,0.2,0.2,0.2,0.2
2021-01-25,2021-01-29,0.2,0.2,0.2,0.2,0.2
2021-02-01,2021-02-05,0.2,0.2,0.2,0.2,0.2
2021-02-08,2021-02-12,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
2021-02-16,2021-02-19,0.2,0.2,0.2,0.2,0.2
2021-02-22,2021-02-26,0.2,0.2,0.2,0.2,0.2
2021-03-01,2021-03-05,0.2,0.2,0.2,0.2,0.2
2021-03-08,2021-03-12,0.2,0.2,0.2,0.2,0.2
2021-03-15,2021-03-19,0.2,0.2,0.2,0.2,0.2
2021-03-22,2021-03-26,0.2,0.2,0.2,0.2,0.2
2021-03-29,2021-04-01,0.2,0.2,0.2,0.2,0.2
2021-04-05,2021-04-09,0.2,0.2,0.2,0.2,0.2
2021-04-12,2021-04-16,0.2,0.2,0.2,0.2,0.2
2021-04-19,2021-04-23,0.2,0.2,0.2,0.2,0.2
2021-04-26,2021-04-30,0.2,0.2,0.2,0.2,0.2
2021-05-03,2021-05-07,0.2,0.2,0.2,0.2,0.2
2021-05-10,2021-05-14,0.25,0.25,0.25,0.25,
2021-05-17,2021-05-21,0.2,0.2,0.2,0.2,0.2
2021-05-24,2021-05-28,0.5,0.5,,,
2021-06-01,2021-06-04,0.2,0.2,0.2,0.2,0.2
2021-06-07,2021-06-11,0.2,0.2,0.2,0.2,0.2
2021-06-14,2021-06-18,0.2,0.2,0.2,0.2,0.2
2021-06-21,2021-06-25,0.2,0.2,0.2,0.2,0.2
2021-06-28,2021-07-02,0.2,0.2,0.2,0.2,0.2
2021-07-06,2021-07-09,0.2,0.2,0.2,0.2,0.2
2021-07-12,2021-07-16,0.2,0.2,0.2,0.2,0.2
2021-07-19,2021-07-23,0.2,0.2,0.2,0.2,0.2
2021-07-26,2021-07-30,0.2,0.2,0.2,0.2,0.2
2021-08-02,2021-08-06,0.2,0.2,0.2,0.2,0.2
2021-08-09,2021-08-13,0.25,0.25,0.25,0.25,
2021-08-16,2021-08-20,0.2,0.2,0.2,0.2,0.2
2021-08-23,2021-08-27,0.2,0.2,0.2,0.2,0.2
2021-08-30,2021-09-03,0.2,0.2,0.2,0.2,0.2
2021-09-07,2021-09-10,0.2,0.2,0.2,0.2,0.2
2021-09-13,2021-09-17,0.2,0.2,0.2,0.2,0.2
2021-09-20,2021-09-24,0.2,0.2,0.2,0.2,0.2
2021-09-27,2021-10-01,0.2,0.2,0.2,0.2,0.2
2021-10-04,2021-10-08,0.2,0.2,0.2,0.2,0.2
2021-10-11,2021-10-15,0.5,0.5,,,
2021-10-18,2021-10-22,0.5,0.5,,,
2021-10-25,2021-10-29,0.2,0.2,0.2,0.2,0.2
2021-11-01,2021-11-05,0.2,0.2,0.2,0.2,0.2
2021-11-08,2021-11-12,0.2,0.2,0.2,0.2,0.2
2021-11-15,2021-11-19,0.2,0.2,0.2,0.2,0.2
2021-11-22,2021-11-26,0.2,0.2,0.2,0.2,0.2
2021-11-29,2021-12-03,0.25,0.25,0.25,0.25,
2021-12-06,2021-12-10,0.2,0.2,0.2,0.2,0.2
2021-12-13,2021-12-17,0.2,0.2,0.2,0.2,0.2
2021-12-20,2021-12-23,0.2,0.2,0.2,0.2,0.2
2021-12-27,2021-12-31,0.2,0.2,0.2,0.2,0.2
