,start_date,end_date,pair1,pair2,pair3,pair4,pair5
0,2020-01-13,2020-01-17,"('ETN', 'TIF')","('DLTR', 'CPB')","('PG', 'ADP')","('MAR', 'PPG')","('WEC', 'DGX')"
1,2020-01-21,2020-01-24,"('FISV', 'K')","('EVRG', 'WEC')","('DAL', 'NWL')","('ORCL', 'WM')","('PEAK', 'AEE')"
2,2020-01-27,2020-01-31,"('CPB', 'AON')","('WRK', 'XRX')","('CSCO', 'GIS')","('ECL', 'ROL')","('WBA', 'HCA')"
3,2020-02-03,2020-02-07,"('NI', 'TIF')","('NEM', 'CME')","('DAL', 'LNC')","('IP', 'A')","('FE', 'CPRT')"
4,2020-02-10,2020-02-14,"('EXPE', 'BAX')","('KMI', 'ABT')","('WU', 'HD')","('REG', 'PPG')","('KHC', 'PEAK')"
5,2020-02-18,2020-02-21,"('MNST', 'PAYX')","('D', 'WEC')","('ECL', 'MMC')","('HD', 'AON')",
6,2020-02-24,2020-02-28,"('MA', 'AXP')","('XEL', 'WEC')","('VFC', 'CB')","('IR', 'ITW')","('OKE', 'CSX')"
7,2020-03-02,2020-03-06,"('PYPL', 'ANTM')","('PEP', 'CL')","('UAA', 'SWK')","('FOXA', 'FOX')","('V', 'XRAY')"
8,2020-03-09,2020-03-13,"('SYY', 'YUM')","('BBY', 'ACN')","('SLB', 'WRK')","('FDX', 'XRAY')","('TSN', 'IP')"
9,2020-03-16,2020-03-20,"('SYF', 'CSX')","('MA', 'XLNX')","('GOOG', 'CPRT')","('MDT', 'MXIM')","('TPR', 'DISH')"
10,2020-03-23,2020-03-27,"('MSFT', 'MMM')","('NUE', 'CHTR')","('GM', 'LKQ')","('SO', 'ALB')","('CTXS', 'HRL')"
11,2020-03-30,2020-04-03,"('ABT', 'D')","('UNP', 'DE')","('AMAT', 'FIS')","('XOM', 'V')","('COG', 'XEL')"
12,2020-04-06,2020-04-09,"('COST', 'CHD')","('AMAT', 'WAB')","('PGR', 'AKAM')","('MMM', 'TMO')","('CERN', 'ILMN')"
13,2020-04-13,2020-04-17,"('AKAM', 'CHD')","('NWL', 'ETR')","('KO', 'AME')","('EOG', 'CXO')","('ALXN', 'EXPD')"
14,2020-04-20,2020-04-24,"('HBI', 'DRI')","('CSX', 'EXPD')","('PYPL', 'INTU')","('TTWO', 'KMB')","('AMGN', 'BIIB')"
15,2020-04-27,2020-05-01,"('CTSH', 'ACN')","('ADI', 'KLAC')","('INTC', 'LRCX')","('IPG', 'CF')","('WM', 'ITW')"
16,2020-05-04,2020-05-08,"('UNH', 'EXPD')","('IR', 'TEL')","('DVN', 'HES')","('HAL', 'FANG')","('MDLZ', 'PG')"
17,2020-05-11,2020-05-15,"('EMR', 'HSIC')","('PEG', 'AEE')","('LKQ', 'PFG')","('KMI', 'JCI')","('SO', 'LNT')"
18,2020-05-18,2020-05-22,"('UPS', 'XLNX')","('NFLX', 'TSCO')","('MSFT', 'INTC')","('HON', 'NUE')","('ABT', 'ADI')"
19,2020-05-26,2020-05-29,"('GM', 'DHI')","('UNP', 'SWKS')","('V', 'ECL')","('K', 'CHD')","('MDLZ', 'EXPD')"
20,2020-06-01,2020-06-05,"('EIX', 'TIF')","('AAPL', 'COST')","('FOXA', 'NSC')","('APH', 'PPG')","('PFE', 'ORCL')"
21,2020-06-08,2020-06-12,"('AXP', 'IP')","('TMUS', 'SO')","('SYY', 'NUE')","('MRK', 'APD')","('FE', 'SPGI')"
22,2020-06-15,2020-06-19,"('INFO', 'TROW')","('ORCL', 'MDLZ')","('KO', 'MMC')","('TWTR', 'IRM')","('XOM', 'TRV')"
23,2020-06-22,2020-06-26,"('V', 'ICE')","('PG', 'HRL')","('TTWO', 'CLX')","('ACN', 'ZTS')","('CBRE', 'WAB')"
24,2020-06-29,2020-07-02,"('EW', 'PCAR')","('ABBV', 'TMO')","('APH', 'PPG')","('CVX', 'FIS')","('ADP', 'QRVO')"
25,2020-07-06,2020-07-10,"('KO', 'JNJ')","('PEP', 'KLAC')","('TXN', 'CSX')","('SBUX', 'MDLZ')","('EA', 'COST')"
26,2020-07-13,2020-07-17,"('ACN', 'EXPD')","('CAH', 'MCK')","('IBM', 'CTSH')","('XOM', 'GD')",
27,2020-07-20,2020-07-24,"('CVS', 'GD')","('CNC', 'ANTM')","('VTR', 'WELL')","('INTC', 'CTXS')",
28,2020-07-27,2020-07-31,"('WMT', 'PAYX')","('NVDA', 'PYPL')","('PG', 'DG')","('ADBE', 'INTU')","('TIF', 'SPGI')"
29,2020-08-03,2020-08-07,"('AXP', 'EMR')","('EOG', 'PXD')","('TSN', 'CAG')","('ACN', 'DG')","('COST', 'LIN')"
30,2020-08-10,2020-08-14,"('LOW', 'HRL')","('AFL', 'CME')","('KR', 'SWK')",,
31,2020-08-17,2020-08-21,"('EW', 'SPGI')","('ADI', 'YUM')","('JNJ', 'FAST')","('MAS', 'HRL')","('ADP', 'ROL')"
32,2020-08-24,2020-08-28,"('PG', 'TMO')","('GE', 'WAB')","('BAX', 'ANTM')","('TMUS', 'AMGN')","('LHX', 'ITW')"
33,2020-08-31,2020-09-04,"('MMM', 'AME')","('ABBV', 'INCY')","('XEL', 'ED')","('UPS', 'TSN')","('CSX', 'BAX')"
34,2020-09-08,2020-09-11,"('CTSH', 'LKQ')","('FOXA', 'FOX')","('YUM', 'LNT')","('ROST', 'CBRE')","('FDX', 'TEL')"
35,2020-09-14,2020-09-18,"('TMUS', 'FIS')","('WM', 'DG')","('VZ', 'AXP')","('JNJ', 'CL')","('INTC', 'XRAY')"
36,2020-09-21,2020-09-25,"('TRV', 'GD')","('COST', 'DRE')","('CI', 'HRL')","('GIS', 'K')","('HD', 'SWKS')"
37,2020-09-28,2020-10-02,"('FOXA', 'FOX')","('HPE', 'IBM')","('CI', 'GD')","('LYV', 'TXT')","('AMAT', 'EA')"
38,2020-10-05,2020-10-09,"('ORCL', 'HSIC')","('HAL', 'VLO')","('AEE', 'SPGI')","('EXC', 'EL')","('NLOK', 'UNP')"
