Year,Weighting,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Skewness,Excess Kurtosis,VaR (0.05),CVaR (0.05),Min,Max,Max Drawdown,Calmar Ratio,Peak,Bottom,Recovery
2020,Equal,-0.33507439634941266,0.5291487713033167,-0.6332328723434615,-0.796790256224886,-0.19708976595241334,1.84416897343641,-0.05065969159915832,-0.08069853000294697,-0.1247032287073569,0.11963516569562971,-0.3745971470730155,0.8944926542222192,2020-01-22,2020-12-31,Not yet recovered
2020,Empirical,-0.3531169584255943,1.2100639535766764,-0.29181677330513,-0.31969976638132475,-0.2203919540346592,6.178766534799022,-0.11796586537787844,-0.20120233886004082,-0.3726421548573363,0.2924194964522827,-0.6938367112912084,0.5089338062963759,2020-01-21,2020-10-20,Not yet recovered
2020,LedoitWolf,-0.21378787114538164,0.6602930184709084,-0.3237772703404721,-0.38831218926837874,-0.01794663929794951,3.89735601925546,-0.07135028568088526,-0.10016699997774124,-0.19015311723137887,0.14594421670491484,-0.3716286060262818,0.575272914083106,2020-03-20,2020-12-31,Not yet recovered
2020,MarcenkoPastur,-0.3518280716458081,1.2101956688838216,-0.29071998908267743,-0.3184653960254747,-0.22093380682126676,6.17368068025948,-0.11836472747854376,-0.20124850290179883,-0.3726395742840724,0.29225106666924044,-0.6935642504871466,0.5072753842181033,2020-01-21,2020-10-20,Not yet recovered
2021,Equal,-0.8349372333719421,0.5194856715438061,-1.6072382340992735,-2.10249531120167,0.030286516221150396,2.249609653702982,-0.05529590954110785,-0.08016585546469096,-0.12557956156365285,0.13080072066180343,-0.6197541748097599,1.3472071142211102,2021-01-22,2021-12-13,Not yet recovered
2021,Empirical,-0.6708559895125487,0.9014647992165726,-0.7441843431885117,-0.8760846747485659,-0.12494385187813704,2.6629383703766356,-0.12457500669776506,-0.14454527791506092,-0.22642370528741274,0.17353993001291862,-0.6852810624007563,0.9789501364043652,2021-01-21,2021-12-16,Not yet recovered
2021,LedoitWolf,-0.706883805572158,0.6410901704016276,-1.1026277397597786,-1.3455828986548874,0.017946929786919828,2.6965927606755242,-0.07444042108748218,-0.09945612219022987,-0.1312331350093343,0.13751368960086519,-0.6230980499406653,1.1344664064339012,2021-01-22,2021-12-16,Not yet recovered
2021,MarcenkoPastur,-0.674655828600242,0.9016438176526582,-0.7482509338960951,-0.8789613571808675,-0.12445527374873137,2.6547220123210193,-0.12481851225444462,-0.14451134444361388,-0.22642140497469346,0.1733406627079137,-0.6863008600786168,0.9830321770585558,2021-01-21,2021-12-16,Not yet recovered
2022,Equal,1.6683063889882974,1.9340791736072094,0.8625843304422617,2.4737265230545815,11.718815177452825,165.95868969007364,-0.06315338119653446,-0.10720462390242205,-0.3752938994192124,1.7244764556025014,-0.44598508311392393,3.7407223966774232,2022-01-18,2022-03-30,2022-04-01 00:00:00
2022,Empirical,0.26502599416424344,1.042000775596314,0.2543433751405558,0.29766324030794183,0.3466571539933101,14.293015558802043,-0.08445860819679288,-0.16750915964528096,-0.37661024308804447,0.4093991582161188,-0.4481183827674914,0.5914195988289853,2022-04-04,2022-07-05,Not yet recovered
2022,LedoitWolf,1.6527985590152816,2.0288746198546335,0.8146380968251763,1.8878260738364443,10.16265653161793,137.3258539117496,-0.07246149032109667,-0.1439512827715584,-0.3766102430880446,1.7244764556025014,-0.4601134645616978,3.592154297396471,2022-01-18,2022-03-30,2022-04-01 00:00:00
2022,MarcenkoPastur,0.26446863867914333,1.0413251578856717,0.2539731578329731,0.29720098931475264,0.34658737163020265,14.321584173364982,-0.08431257551857389,-0.1673987624215574,-0.3766102430880446,0.4093991582161189,-0.4481331998537252,0.5901563168394315,2022-04-04,2022-07-05,Not yet recovered
