Year,Weighting,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Skewness,Excess Kurtosis,VaR (0.05),CVaR (0.05),Min,Max,Max Drawdown,Calmar Ratio,Peak,Bottom,Recovery
2020,Equal,-0.3392793421693356,0.6527842853441286,-0.5197418960391755,-0.6524115682661625,-0.02162417491072915,10.33508066085512,-0.05049011008092834,-0.09317238751448721,-0.2399249210391107,0.2539147119305801,-0.4427636516911548,0.7662764115198788,2020-03-06,2020-11-25,Not yet recovered
2020,Empirical,-0.28464509724018566,1.041032222755583,-0.2734258277680763,-0.3033315578179666,0.08366103045501995,5.669999055208708,-0.11472261361470998,-0.17218603042147182,-0.254055202901937,0.2695789543590725,-0.5862998231295538,0.48549408683223855,2020-01-22,2020-11-26,Not yet recovered
2020,LedoitWolf,-0.3560091874557379,0.8770844763506861,-0.40590068238010196,-0.4665551400259722,0.05309873334203735,6.733314531257118,-0.09613346463974845,-0.14141286470157113,-0.2399249210391107,0.2539147119305801,-0.525300586480149,0.6777247096585746,2020-03-12,2020-12-29,Not yet recovered
2020,MarcenkoPastur,-0.28545323436679143,1.0385955323685803,-0.2748454287260393,-0.3039777477688207,0.08338465071219939,5.729493662096624,-0.11469146516005548,-0.1713411080757052,-0.2540552029072686,0.2695789543647123,-0.5851684067716972,0.4878138174642786,2020-01-22,2020-11-26,Not yet recovered
2021,Equal,-0.4020222397201039,0.46750877795470186,-0.8599244734588853,-1.1713498318504405,0.1084585135751876,1.2536547806936724,-0.05086545041921307,-0.0631367011516258,-0.10580523237122913,0.09744573618189815,-0.4206674366262408,0.9556771090824818,2021-01-19,2021-12-13,Not yet recovered
2021,Empirical,-0.5869042761443966,0.9481627006684417,-0.6189911032469819,-0.6751187247550795,-0.26778813188933354,6.643714419566103,-0.1163214308410692,-0.1716709299883419,-0.2512395023927704,0.26186849642251603,-0.6725704181059472,0.8726287394518502,2021-01-29,2021-12-16,Not yet recovered
2021,LedoitWolf,-0.41139404442860633,0.5424312788188513,-0.7584261094316321,-0.8748929810379648,-0.17998137335660527,3.88752886636159,-0.05727393356557171,-0.08956778382217707,-0.12884107344426346,0.1333999471166137,-0.47801005325248114,0.860638895833664,2021-03-02,2021-12-16,Not yet recovered
2021,MarcenkoPastur,-0.5875249150903712,0.9481082689879127,-0.6196812477097607,-0.6755070020746112,-0.26842281671937657,6.660979689119375,-0.11633001763907251,-0.17170986234615507,-0.2515118377389678,0.26186849642257887,-0.672932583392759,0.8730813897110116,2021-01-29,2021-12-16,Not yet recovered
2022,Equal,1.3645131352772524,1.8276078355435914,0.746611558967956,2.0924019402557676,10.786467446288569,146.93078393368526,-0.06638542933256261,-0.1160493948853511,-0.3621026982789851,1.5788646620248292,-0.4716590354660461,2.8930075174516214,2022-01-20,2022-03-30,2022-04-01 00:00:00
2022,Empirical,-0.19822478016147374,1.0559553820303058,-0.18772079155498325,-0.22795025559268964,0.37300673307830395,11.19381007213145,-0.11842889251871562,-0.15502941110565333,-0.3802421353102169,0.411611969083175,-0.5702540841869103,0.3476078219485444,2022-01-20,2022-12-14,Not yet recovered
2022,LedoitWolf,1.5315630649617833,1.9530156874090816,0.7842041796364638,1.7026854016470754,8.820021200618173,112.13056558994617,-0.10426643772901797,-0.16639195274657195,-0.3621026982789851,1.5788646620248292,-0.4939724176407917,3.100503206791416,2022-01-20,2022-03-30,2022-04-01 00:00:00
2022,MarcenkoPastur,-0.19812487529115005,1.0561564438789208,-0.18759046203751928,-0.22778247693938913,0.3724799919086255,11.18325096865682,-0.1185536590078427,-0.15504562549882028,-0.38024213531021694,0.41161196908317504,-0.5700627374713275,0.34754924724599306,2022-01-20,2022-12-14,Not yet recovered
