Year,Weighting,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Skewness,Excess Kurtosis,VaR (0.05),CVaR (0.05),Min,Max,Max Drawdown,Calmar Ratio,Peak,Bottom,Recovery
2020,Equal,0.02044002745094452,0.009249825796716146,2.2097743136093544,2.556511178700944,-0.003539810437733181,9.854577136844117,-0.0005166882697826585,-0.0013550831665471673,-0.0031029972809294,0.00296260411485712,-0.008426796965677543,2.4255986627181154,2020-03-20,2020-03-27,2020-06-19 00:00:00
2020,Empirical,0.028308287641829535,0.015457735283004283,1.8313347410570797,2.4138162386573785,1.6469015000349772,15.63854685846713,-0.0010797278862543613,-0.0021378376265432956,-0.003682404102908699,0.0068130685787842985,-0.008426796965677425,3.3593176336311372,2020-03-20,2020-03-27,2020-05-05 00:00:00
2020,LedoitWolf,0.030855926675789007,0.014015199086766588,2.201604592611442,2.963496020801667,1.7862622560353432,18.288542609027495,-0.000842198827915528,-0.001866588810208067,-0.0036824041029087,0.0068130685787843,-0.008426796965677679,3.661643540418158,2020-03-20,2020-03-27,2020-05-05 00:00:00
2020,MarcenkoPastur,0.0285043897558913,0.015459850132213656,1.8437688277777522,2.4289552992275576,1.6483250469675077,15.64102567538286,-0.001079472126313632,-0.002137350388863355,-0.0036824041029087,0.0068130685787843,-0.00842679696567761,3.3825888854317765,2020-03-20,2020-03-27,2020-05-05 00:00:00
2021,Equal,0.0037473332221459625,0.004789356961969072,0.7824293014495421,1.0695999132396525,-0.3722106081877192,3.331280673673522,-0.0004010465570595756,-0.0007312142018558996,-0.00140154594877337,0.001183955415610088,-0.0026910142886807467,1.3925356093085146,2021-10-15,2021-11-30,2021-12-13 00:00:00
2021,Empirical,0.010019114133962377,0.007048383678418503,1.4214768365462247,1.8731248617499763,-0.4695483485198797,4.026918047175278,-0.0006130932616957065,-0.0010170436075946103,-0.0020317978425947,0.0015082676699785884,-0.005009676154532577,1.9999524569861542,2021-10-13,2021-11-15,Not yet recovered
2021,LedoitWolf,0.004787506916127236,0.005379849619886338,0.8898960481033638,1.1421609594719477,-0.9736575035752799,5.94469567450635,-0.00041029029443986437,-0.0008207617130254105,-0.0020061617547291353,0.0010291425973268191,-0.004448988266348214,1.0760889059518428,2021-09-22,2021-11-15,Not yet recovered
2021,MarcenkoPastur,0.009915940318621787,0.007045616233337008,1.4073914885831513,1.8566140068469477,-0.467100601774704,4.030973808318486,-0.000610221591629632,-0.001015322847913381,-0.0020317978425947,0.0015092417531737054,-0.00500838877657794,1.9798663324609174,2021-10-13,2021-11-15,Not yet recovered
2022,Equal,0.35080520134624116,0.36176106920154955,0.9697151827876633,2.8651495467385018,13.115794471462031,191.50179291899386,-0.0005600291886119632,-0.009393708523450168,-0.06418876723977526,0.3341198687638099,-0.10530461002518197,3.3313375479226552,2022-03-28,2022-03-30,2022-04-01 00:00:00
2022,Empirical,0.04426456385526535,0.03947041186065344,1.1214619196662354,1.6949031324621684,4.551175163007919,58.87687363133587,-0.0009485117017348599,-0.003383778011439584,-0.016020196318396334,0.02560703783323585,-0.016020196318396372,2.763047529226299,2022-03-25,2022-03-28,2022-03-30 00:00:00
2022,LedoitWolf,0.34446482464932493,0.36181328039496946,0.9520513571898016,2.923367611622144,13.113401654927864,191.44840214525954,-0.00072476807504662,-0.009549080170037742,-0.06418876723977526,0.3341198687638099,-0.10530461002518184,3.271127679661431,2022-03-28,2022-03-30,2022-04-01 00:00:00
2022,MarcenkoPastur,0.04424491494821875,0.03947221123611127,1.1209130059514163,1.6940313891355405,4.5511380197107165,58.87326237139355,-0.0009496330335289594,-0.0033836021137904765,-0.01602051209115712,0.025607545972332137,-0.016020512091157027,2.7617665837686287,2022-03-25,2022-03-28,2022-03-30 00:00:00
