Year,Weighting,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Skewness,Excess Kurtosis,VaR (0.05),CVaR (0.05),Min,Max,Max Drawdown,Calmar Ratio,Peak,Bottom,Recovery
2020,Equal,0.021109775789792246,0.00897962137299982,2.3508536621895573,2.5349499207681148,-1.044208202976979,11.182442768519389,-0.0004816958213447206,-0.0013120082495619817,-0.0033888728691318,0.00235297664579218,-0.0044629551234708995,4.729999564363733,2020-03-18,2020-03-27,2020-04-07 00:00:00
2020,Empirical,0.020180624998175994,0.013993028782542362,1.442191344832596,1.85505424650191,1.327154643873791,17.584207747860084,-0.001214760049382743,-0.002029074608048648,-0.003893800031831011,0.0069505336430589985,-0.011679442091519675,1.7278757700959828,2020-06-15,2020-09-30,2020-12-04 00:00:00
2020,LedoitWolf,0.02584493142854513,0.013405702887660782,1.927905731249197,2.6020027660333453,1.839773664172386,20.99568025568019,-0.0008003055033238189,-0.0017923490109109082,-0.0033888728691318,0.006950533643059,-0.007585966560514865,3.406939804225952,2020-07-15,2020-09-21,2020-12-11 00:00:00
2020,MarcenkoPastur,0.020274169966710696,0.01398562337236926,1.4496436395366847,1.8598745117277053,1.3223178355802636,17.594837759276317,-0.001214643370738737,-0.0020287755516199203,-0.0038922361996648054,0.006950533643059,-0.0117140663356178,1.7307542390352562,2020-06-15,2020-09-30,2020-12-04 00:00:00
2021,Equal,0.004476671567582421,0.005201197847830491,0.8607001115040678,0.9819220750136993,-1.323536333678165,15.6979023510142,-0.00041701541626958474,-0.0007914001973101063,-0.00242891286604658,0.0015268057309791,-0.002702082461600224,1.656748685949152,2021-01-19,2021-02-19,2021-04-21 00:00:00
2021,Empirical,-0.001555019905877349,0.006544564370138011,-0.2376047996368866,-0.32093514975467907,-0.39395583088042635,4.8147322071032725,-0.0006617538601781822,-0.0009660130266295122,-0.0022634037697379,0.001615411431321989,-0.007245132818115076,0.21462959270937276,2021-10-21,2021-12-07,Not yet recovered
2021,LedoitWolf,0.0014095670578268766,0.005627572455871455,0.250475150498724,0.27864273730039324,-1.5787435867626938,12.051195992756611,-0.00043549490115806367,-0.000907119539072248,-0.00242891286604658,0.0014326059301812601,-0.003982734952920836,0.35391937311649024,2021-10-22,2021-12-06,Not yet recovered
2021,MarcenkoPastur,-0.0015015903119701356,0.006539714934901444,-0.22961097340136052,-0.31043063183933867,-0.3900057315032316,4.833624168474171,-0.0006618594264900332,-0.000964152888121476,-0.0022634037697379,0.001615411431322,-0.007242330915504942,0.20733522528712614,2021-10-21,2021-12-07,Not yet recovered
2022,Equal,0.3365250823245286,0.35116305611275583,0.958315735287578,2.7328822582816708,12.745451612995597,183.68413803013854,-0.00047020490920769394,-0.009495149127620882,-0.05896099097090456,0.3208348973990666,-0.11009433870387814,3.05669743137005,2022-03-28,2022-03-30,2022-04-01 00:00:00
2022,Empirical,0.0026719491597100233,0.03505356300493814,0.07622475236921321,0.07175069754752422,-3.746726712868956,95.10557845396208,-0.0011513091786737725,-0.0034440739092692673,-0.02551119740854591,0.018632924848554673,-0.025511197408545905,0.10473632879399682,2022-03-28,2022-03-29,2022-04-01 00:00:00
2022,LedoitWolf,0.34086541533459797,0.35117124457421195,0.9706529808495294,2.8093384647965207,12.742195121613266,183.62637244288132,-0.000879540987120522,-0.009649304446773553,-0.05896099097090456,0.3208348973990666,-0.11009433870387828,3.0961211934014763,2022-03-28,2022-03-30,2022-04-01 00:00:00
2022,MarcenkoPastur,0.002652059300835779,0.03505390789814581,0.07565659465249125,0.07149176605546981,-3.7467962723535484,95.109069965758,-0.001149688353911399,-0.003445039861735013,-0.02551170698382648,0.018633291702396804,-0.025511706983826415,0.10395460023577009,2022-03-28,2022-03-29,2022-04-01 00:00:00
