Year,Weighting,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Skewness,Excess Kurtosis,VaR (0.05),CVaR (0.05),Min,Max,Max Drawdown,Calmar Ratio,Peak,Bottom,Recovery
2020,Equal,0.6087107954156974,1.1513028046680063,0.5287147681284659,0.5219411930826212,-1.598973440215869,59.86489614881091,-0.0007381263468046173,-0.10014454863771591,-0.7325216446632924,0.5347581465989589,-0.732812258951301,0.8306503991715418,2020-08-07,2020-08-24,Not yet recovered
2020,Empirical,-1.8287894047608706,1.9266792546351632,-0.9491924513959491,-0.7342734077936782,-5.156892708664522,49.467341179353554,-0.001122783838113694,-0.2574788923691732,-1.0020613414917845,0.6880962140012299,-1.0002489907264889,1.8283341665084871,2020-01-14,2020-01-16,Not yet recovered
2020,LedoitWolf,-1.3734546515417267,2.2662193445996617,-0.606055479499207,-0.4869345738865278,-4.623641879078808,38.797130325812844,-0.0011407433590154689,-0.30509396241075293,-1.093252141099232,0.6880962140012299,-1.0002489907264889,1.3731127591982628,2020-01-14,2020-01-16,Not yet recovered
2020,MarcenkoPastur,-1.8289567309407218,1.9264749131046404,-0.9493799885477036,-0.734409715017224,-5.157716313582223,49.48443552936242,-0.0011227432779610856,-0.25743699912427637,-1.0020613414917845,0.6880962140012299,-1.0002489907264889,1.8285014510360422,2020-01-14,2020-01-16,Not yet recovered
2021,Equal,9.589232597061512,5.243343933058805,1.8288391376736277,2821.6346070236023,12.37485779940678,168.39369007534228,-0.00031830135494038194,-0.0005675086005617724,-0.00170612616848116,4.705816449549869,-0.003687791493737442,2600.2643081491506,2021-01-22,2021-02-19,2021-02-22 00:00:00
2021,Empirical,7.352179780293318,4.526051958400937,1.6244134729047295,1736.5037686660223,10.997614138465817,121.73455138276564,-0.0005718217043415174,-0.000855091986444222,-0.0013475957028727516,3.424547928263676,-0.004431972323844638,1658.895688661581,2021-01-19,2021-02-22,2021-03-29 00:00:00
2021,LedoitWolf,6.84417154177837,4.371183904025187,1.5657477909991253,1623.1213255636653,11.910283822159276,147.77488988048088,-0.0004834275077558226,-0.0007879412876413332,-0.001490950817378283,3.7093625239686117,-0.004648846893018021,1472.229931266923,2021-01-22,2021-02-22,2021-03-29 00:00:00
2021,MarcenkoPastur,7.325189871973661,4.509774246249273,1.624291920613529,1732.0448230871618,11.00152711004841,121.85080021593933,-0.0005724212181047705,-0.000851416859212933,-0.0013473776638656756,3.415856858368041,-0.004420690084586152,1657.024069050843,2021-01-19,2021-02-22,2021-03-29 00:00:00
2022,Equal,3.8686186891356735,3.707088159268865,1.0435734255369493,509.99117911991294,15.551418077166963,241.89663663763747,-0.0004860186962174434,-0.00124935609651352,-0.00344123967700778,3.632748823007715,-0.007357748609799878,525.7883755341969,2022-04-01,2022-04-11,2022-08-08 00:00:00
2022,Empirical,0.008114150053967182,0.008411146597342713,0.9646901239993416,1.302622381189786,-0.06906028055490362,5.456468568830362,-0.000836451852533163,-0.001191031306119029,-0.0027498893544706357,0.0026075173423945,-0.005780664045064484,1.403670926162025,2022-05-03,2022-09-30,Not yet recovered
2022,LedoitWolf,0.011821175252697805,0.007191926403698876,1.6436730006883917,2.5328094925556144,1.4318245108202232,11.087701337051481,-0.0005582932764941025,-0.0008876875492000556,-0.0018498782800044763,0.003022527755671471,-0.004301938223962282,2.747871921277838,2022-08-03,2022-09-30,2022-10-26 00:00:00
2022,MarcenkoPastur,0.008105175680842845,0.008421518314592855,0.962436389504509,1.2974541829529962,-0.07894213343979291,5.540705963043816,-0.000836533049771981,-0.0011919367045371552,-0.0027731078105527156,0.0026075173423945,-0.005772553353084131,1.4040884830475324,2022-05-03,2022-09-30,Not yet recovered
